fighter_number,fighter,weight,max_fall_speed,fastfall_speed,walk_speed_factor,initial_dash_speed,run_speed,horizontal_air_speed,horizontal_air_friction,gravity,traction,jumpsquat_frames,number_of_jumps,shield_size
01,Mario,1,44,70,0.3,54,44,30,0.2,2.4,1.5,3,2,260
02,Donkey Kong,0.83,56,89,0.32,60,48,30,0.3,3,1.7,6,2,330
03,Link,0.96,64,102,0.37,68,42,31,0,3.4,2,7,2,280
04,Samus,0.92,42,67,0.34,56,54,28,0.3,1.9,2,3,2,330
05,Yoshi,0.93,58,88,0.38,40,50,44,0.4,2.8,1.6,5,2,NA
06,Kirby,1.19,48,79,0.35,61,48,28,0.5,2.4,1.4,3,6,270
07,Fox,1,60,96,0.45,81,60,36,0.3,4,2,3,2,280
08,Pikachu,1.16,52,83,0.42,60,55,37,0.45,3,2,3,2,288
09,Luigi,1,42,67.5,0.3,50,40,22.5,0.15,2.1,0.7,3,2,270
10,Ness,1.1,55,88.25,0.28,68,40,28,0.4,2.7,2,3,2,320
11,Captain Falcon,0.96,66,100,0.32,80,75,31,0.2,3.4,1.8,4,2,290
12,Jigglypuff,1.3,38,60,0.28,50,42,35,1,2,1.1,6,6,400
