fighter_number,fighter,weight,max_fall_speed,fastfall_speed,walk_speed,initial_dash_speed,run_speed,horizontal_air_speed,horizontal_air_acceleration,gravity,traction,jumpsquat_frames,meteor_cancel_frames
01,Mario,98,1.28,1.792,1.1,1.5,1.5,0.94,0.09,0.075,0.06,5,25
02,Donkey Kong,116,1.65,2.212,1.2,1.6,1.622,1.081,0.06,0.081,0.0529,6,25
03,Link,104,1.6,2.666,1.2,1.3,1.328,0.8084,0.05,0.089,0.064,7,25
04,Samus,108,1.07,1.498,1.05,1.86,1.445,0.987,0.09,0.058,0.0585,4,25
05,Yoshi,107,1.29,1.806,1.15,1.33,1.68,1.316,0.08,0.07347,0.0426,6,20
06,Kirby,78,1.2,1.9,0.95,1.4,1.371,0.85,0.11,0.061,0.0493,4,25
07,Fox,80,1.831,2.5634,1.45,2.1,2.08,0.89,0.09,0.175,0.06,4,25
08,Pikachu,79,1.5,2.379,1.24,1.8,1.765,0.9118,0.1,0.087,0.0596,4,25
09,Luigi,97,1.22,1.708,1.08,1.28,1.34,0.7332,0.075,0.065,0.022,5,25
10,Ness,94,1.31,1.834,0.86,1.3,1.393,0.9588,0.1,0.0711,0.0546,5,25
11,Captain Falcon,104,1.837,2.5718,0.85,2.05,2.18,1.18,0.06,0.1027,0.05,5,25
12,Jigglypuff,68,0.98,1.372,0.7,1.4,1.1,1.269,0.13,0.05056,0.0718,6,25
13,Peach,90,1.05,1.47,0.86,1.5,1.35,0.893,0.11,0.0632,0.068,5,25
14,Bowser,120,1.39,1.946,0.8,1,1.527,1.034,0.05,0.1027,0.577,8,25
15,Ice Climbers (leader),92,1.2,1.68,0.96,1.4,1.388,0.7708,0.09,0.077,0.035,4,25
16,Sheik,85,1.58,2.212,1.3,1.7,1.92,0.846,0.09,0.1409,0.06,4,25
17,Zelda,85,1.13,1.582,0.8,1.25,1.224,0.987,0.1,0.067,0.054,6,25
20,Falco,82,1.708,2.3912,1.28,1.9,1.432,0.893,0.08,0.112,0.065,6,25
21,Marth,87,1.5,2.1,1.5,1.5,1.7,1.034,0.08,0.06715,0.055,5,25
23,Ganondorf,109,1.65,2.31,0.73,1.3,1.18,0.846,0.04,0.1027,0.068,7,25
26,Mr. Game & Watch,75,1.24,1.736,1.1,1.5,1.553,1.081,0.1,0.07505,0.06,5,25
27,Meta Knight,79,1.39,1.946,1.22,1.75,1.847,0.752,0.08,0.0956,0.04,4,32
28,Pit,94,1.42,1.988,1.18,1.5,1.583,0.893,0.075,0.075,0.0505,5,32
29,Zero Suit Samus,81,1.43,2.002,1.33,1.7,1.93,1.034,0.1,0.0884,0.07,4,15
30,Wario,107,1.4,1.96,0.85,1.3,1.35,1.222,0.34,0.0842,0.07,6,25
31,Snake,113,1.73,2.422,0.84,1.1,1.35,0.94,0.03,0.08,0.0542,9,25
32,Ike,105,1.65,2.31,0.88,1.5,1.371,0.9212,0.05,0.0837,0.044,7,25
33,Squirtle,75,1.3,2.1,1.2,1.6,1.37,1.081,0.12,0.1067,0.042,4,25
34,Ivysaur,100,1.35,1.89,1.05,1.4,1.5,0.752,0.095,0.07,0.0532,5,15
35,Charizard,110,1.35,1.89,0.7,1.3,1.8,0.987,0.06,0.085,0.055,7,30
36,Diddy Kong,92,1.43,2.002,1.25,1.7,1.721,0.8272,0.05,0.092,0.484,4,25
37,Lucas,94,1.37,1.918,0.82,1.3,1.5,1.05,0.095,0.9,0.045,5,25
38,Sonic,92,1.45,2,1.4,1.5,3.5,1.1092,0.05,0.085,0.07,5,25
39,King Dedede,112,1.95,2.73,0.95,1.4,1.22,0.658,0.05,0.0837,0.0484,6,25
40,Olimar,82,1.3,1.82,0.9,1.4,1.4,0.82,0.08,0.06,0.06,5,15
41,Lucario,100,1.2,1.68,1,1.8,1.414,0.987,0.07,0.0625,0.0736,5,25
42,R.O.B.,106,1.2,1.68,1.1,1.3,1.5,0.89,0.046,0.065,0.06,5,25
43,Toon Link,92,1.28,1.9,1.22,1.5,1.65,0.94,0.09,0.07,0.0547,5,25
44,Wolf,102,1.8,1.9,1.3,1.7,1.4,1.222,0.09,0.13,0.07,5,60
