fighter_number,fighter,weight,max_fall_speed,fastfall_speed,initial_dash_speed,run_speed,air_speed,air_acceleration,jump_frames,run_acceleration,jump_height,hop_height,air_friction,gravity,ledge_jump_height,number_of_jumps,shield_size
01,Mario,100,1.7,2.3,1.5,1.5,0.86,0.025,4,30,2.3,1.4,0.02,0.095,2.3,2,10.75
02,Donkey Kong,114,2.4,2.96,1.6,1.6,1,0.02,5,30,2.7,1.6,0.02,0.1,2.7,2,17.5
03,Link,104,2.13,3,1.3,1.3,1,0.04,6,30,2.5,1.5,0.02,0.11,2.6,2,11.625
04,Samus,110,1.4,2.3,1.86,1.4,0.89,0.0125,3,30,2.1,1.7,0.02,0.066,2.1,2,16.25
05,Yoshi,108,1.93,2.93,1.33,1.6,1.2,0.028,5,30,2.5,1.8,0.02,0.093,2.3,2,6
06,Kirby,70,1.6,2,1.4,1.4,0.78,0.04,3,30,2,1.5,0.02,0.08,2,6,14.7
07,Fox,75,2.8,3.4,1.9,2.2,0.83,0.06,3,30,3.68,2.1,0.02,0.23,4,2,14.375
08,Pikachu,80,1.9,2.7,1.8,1.8,0.85,0.03,3,30,2.6,1.7,0.02,0.11,2.6,2,12
09,Luigi,100,1.6,2,1.3,1.34,0.68,0.025,4,30,2.4,1.4,0.015,0.069,2.1,2,10.75
10,Ness,94,1.83,2.2,1.3,1.4,0.93,0.04,4,30,2.5,1.5,0.02,0.09,2.5,2,13.75
11,Captain Falcon,104,2.9,3.5,2,2.3,1.12,0.04,4,30,3.1,1.9,0.02,0.13,3.3,2,15
12,Jigglypuff,60,1.3,1.6,1.4,1.1,1.35,0.09,5,30,1.6,1.05,0.19,0.064,1.8,6,13.125
13,Peach,90,1.5,2,1.2,1.3,1.1,0.06,5,30,2.2,1.6,0.01,0.08,2.2,2,11.875
14,Bowser,117,1.9,2.4,1,1.5,0.8,0.03,8,30,2.8,1.6,0.02,0.13,2.2,2,31.25
15,Ice Climbers (leader),88,1.6,2,1.4,1.4,0.7,0.027,3,30,2.6,1.4,0.02,0.1,2.6,2,10.75
15B,Ice Climbers (partner),88,1.6,2,1.4,1.4,0.7,0.027,3,30,2.6,1.4,0.02,0.1,2.6,2,10.75
16,Sheik,90,2.13,3,1.7,1.8,0.8,0.04,3,30,2.8,2.14,0.02,0.12,2.8,2,11.625
17,Zelda,90,1.4,1.85,1.1,1.1,0.95,0.038,6,30,2.1,1.6,0.01,0.073,2.1,2,11.875
18,Dr. Mario,100,1.7,2.3,1.5,1.5,0.9,0.024,4,30,2.3,1.4,0.02,0.095,2.3,2,10.75
19,Pichu,55,1.9,2.5,1.8,1.72,0.85,0.03,3,30,2.6,1.7,0.02,0.11,2.6,2,24.3
20,Falco,80,3.1,3.5,1.9,1.5,0.83,0.05,5,30,4.1,1.9,0.02,0.17,3.9,2,12.5
21,Marth,87,2.2,2.5,1.5,1.8,0.9,0.03,4,30,2.4,1.5,0.02,0.085,2.4,2,11.75
22,Young Link,85,2.13,2.2,1.8,1.6,1,0.04,4,30,2.62,1.5,0.02,0.11,2.6,2,11.625
23,Ganondorf,109,2,2.6,1.3,1.35,0.78,0.04,6,30,2.6,2,0.02,0.13,3.5,2,15
24,Mewtwo,85,1.5,2.3,1.4,1.4,1.2,0.03,5,30,2.3,1.4,0.02,0.082,2.3,2,16.25
25,Roy,85,2.4,2.9,1.4,1.61,0.9,0.03,5,30,2.6,1.5,0.02,0.114,2.4,2,11.75
26,Mr. Game & Watch,60,1.7,2.3,1.5,1.5,1,0.03,4,30,2.3,1.4,0.02,0.095,2.8,2,10.75
NA,Giga Bowser,140,2.4,2.4,1,1.5,0.8,0.03,6,30,4.2,1.6,0.02,0.25,5,2,31.25
