fighter_number,fighter,weight,max_fall_speed,fastfall_speed,walk_speed_factor,initial_dash_speed,run_speed,horizontal_air_speed,horizontal_air_friction,gravity,traction,jumpsquat_frames,number_of_jumps,shield_size
01,Mario,0.3617021276595745,0.21428571428571427,0.23809523809523808,0.1176470588235292,0.34146341463414637,0.11428571428571428,0.3488372093023256,0.2,0.23809523809523808,0.6153846153846154,0,0,0
02,Donkey Kong,0,0.6428571428571429,0.6904761904761905,0.23529411764705874,0.4878048780487805,0.22857142857142856,0.3488372093023256,0.3,0.5238095238095238,0.7692307692307692,0.75,0,0.5
03,Link,0.276595744680851,0.9285714285714286,1,0.5294117647058822,0.6829268292682927,0.05714285714285714,0.3953488372093023,0,0.7142857142857143,1,1,0,0.14285714285714285
04,Samus,0.1914893617021278,0.14285714285714285,0.16666666666666666,0.35294117647058826,0.3902439024390244,0.4,0.2558139534883721,0.3,0,1,0,0,0.5
05,Yoshi,0.21276595744680865,0.7142857142857143,0.6666666666666666,0.588235294117647,0,0.2857142857142857,1,0.4,0.4285714285714285,0.6923076923076924,0.5,0,NA
06,Kirby,0.7659574468085105,0.35714285714285715,0.4523809523809524,0.4117647058823527,0.5121951219512195,0.22857142857142856,0.2558139534883721,0.5,0.23809523809523808,0.5384615384615384,0,1,0.07142857142857142
07,Fox,0.3617021276595745,0.7857142857142857,0.8571428571428571,1,1,0.5714285714285714,0.627906976744186,0.3,1,1,0,0,0.14285714285714285
08,Pikachu,0.7021276595744679,0.5,0.5476190476190477,0.8235294117647057,0.4878048780487805,0.42857142857142855,0.6744186046511628,0.45,0.5238095238095238,1,0,0,0.2
09,Luigi,0.3617021276595745,0.14285714285714285,0.17857142857142858,0.1176470588235292,0.24390243902439024,0,0,0.15,0.09523809523809532,0,0,0,0.07142857142857142
10,Ness,0.5744680851063831,0.6071428571428571,0.6726190476190477,0,0.6829268292682927,0,0.2558139534883721,0.4,0.38095238095238104,1,0,0,0.42857142857142855
11,Captain Falcon,0.276595744680851,1,0.9523809523809523,0.23529411764705874,0.975609756097561,1,0.3953488372093023,0.2,0.7142857142857143,0.8461538461538461,0.25,0,0.21428571428571427
12,Jigglypuff,1,0,0,0,0.24390243902439024,0.05714285714285714,0.5813953488372093,1,0.04761904761904766,0.30769230769230776,0.75,1,1
