fighter_number,fighter,weight,max_fall_speed,fastfall_speed,initial_dash_speed,run_speed,horizontal_air_speed,base_air_acceleration,air_acceleration_range,jump_frames,base_run_acceleration,run_acceleration_range,jump_height,hop_height,air_jump_height,horizontal_air_friction,gravity,ledge_jump_height,number_of_jumps,shield_size
01,Mario,0.4838709677419355,0.48598130841121506,0.48598130841121495,0.42857142857142866,0.19148936170212774,0.7999999999999998,0.14285714285714285,0.6,0.25,0.39999999999999997,0.6168108776266996,0.5385944947978734,0.5784501696924087,0.42690676399941585,0.24324324324324323,0.24878754236297768,0.576625354509359,0,0.2318181818181818
02,Donkey Kong,0.8709677419354839,0.6074766355140186,0.6074766355140188,0.42857142857142866,0.23536170212765964,0.7999999999999998,0.14285714285714285,0.3333333333333333,0.5,0.39999999999999997,0.4122373300370828,0.46268845860173835,0.5561417632753122,0.40544429112603614,0.24324324324324323,0.2334492228584784,0.5104934770277935,0,0.6477272727272727
03,Link,0.5806451612903226,0.5794392523364488,0.8598130841121496,0.21428571428571433,0.10400000000000006,0.3846153846153846,0.14285714285714285,0.19999999999999996,0.75,0.39999999999999997,0.7398022249690976,0.2608638600634173,0.1952793116042042,0.23773122825745283,0.001081081081081084,0.31342760313193874,0.3346568349404423,0,0.29545454545454547
04,Samus,0.6451612903225806,0.29906542056074775,0.2990654205607477,0.6142857142857144,0.15063829787234045,0.6153846153846154,0.5714285714285714,0.3333333333333333,0,0.39999999999999997,0.7416563658838071,0.5603455224106034,0.6208927121634207,0.44414730563417076,0.08108108108108109,0.17465233142456466,0.5955757231990924,0,0.44318181818181807
05,Yoshi,0.5806451612903226,0.2897196261682244,0.28971962616822433,0.2357142857142858,0.30212765957446813,1,0.4285714285714285,0.5733333333333333,0.5,0.39999999999999997,0.5933250927070457,0.5308592415353461,0.5688114787175981,0.8198245664597975,0.027027027027027032,0.19656421643099214,0.5698863301191153,0,0
06,Kirby,0.1774193548387097,0.23364485981308414,0.23364485981308408,0.35714285714285715,0.1787234042553192,0.2615384615384616,0.4285714285714285,0.5333333333333332,0,0.39999999999999997,0.5896168108776267,0.1817002446374553,0.09036816379509544,0.05711716055282461,0.24324324324324323,0.08006602781348597,0.265686840612592,1,0.13636363636363638
07,Fox,0.1774193548387097,1,1,1,0.4400000000000001,0.5076923076923077,0.14285714285714285,0.7333333333333333,0,0.39999999999999997,0.6866501854140915,0.4952408132046934,0.47379110051856704,0.44414730563417076,0.24324324324324323,1,0.5388542257515597,0,0.27272727272727265
08,Pikachu,0.1774193548387097,0.532710280373832,0.5327102803738318,0.5714285714285715,0.2992553191489362,0.4335384615384616,0.14285714285714285,0.8666666666666666,0,0.39999999999999997,0.5636588380716935,0.5115169905061709,0.5401253722674435,0.40544429112603614,0.08108108108108109,0.3061236414631296,0.553034600113443,0,0.13636363636363638
09,Luigi,0.46774193548387094,0.25233644859813087,0.25233644859813087,0.20000000000000004,0.14893617021276598,0.16027230769230763,0,0.6666666666666665,0.25,0.39999999999999997,0.4857849196538937,0.7882120046312886,0.8037378028398651,0.5552448506219743,0.08108108108108109,0.1600444080869463,0.7941009642654565,0,0.35454545454545455
10,Ness,0.41935483870967744,0.3084112149532711,0.30841121495327106,0.21428571428571433,0.1330425531914894,0.5058461538461538,0.14285714285714285,0.8666666666666666,0.25,0.39999999999999997,0.4023485784919654,0.47819200576671467,0.4967233462775467,0.37902987075437933,0.4054054054054054,0.17465233142456466,0.5240006806579693,0,0.12500000000000006
11,Captain Falcon,0.5806451612903226,0.8009345794392524,0.8009345794392524,0.5,0.49787234042553186,0.7230769230769232,0.14285714285714285,0.5333333333333332,0.25,1,0.37082818294190356,0.5703277670543088,0.619113051739877,0.4520595435041364,0.08108108108108109,0.48872268318335865,0.6042724900737377,0,0.3181818181818181
12,Jigglypuff,0,0,0,0.28571428571428564,0.002127659574468134,0.9830769230769228,0.7142857142857143,0.7333333333333333,0.5,0.39999999999999997,0.5123609394313968,0,0,0,0.7297297297297298,0,0.10738309699376054,1,0.21590909090909083
13,Peach,0.3387096774193548,0.15887850467289716,0.15887850467289724,0.35714285714285715,0.11382978723404258,0.4923076923076922,0.14285714285714285,1,0.25,0.39999999999999997,0.7299134734239802,0.333319672195185,0.2985376675134396,0.26419954902731463,0.13513513513513514,0.10891667640528223,0.3977829268292681,0,0.3181818181818181
14,Bowser,1,0.38317757009345793,0.3831775700934581,0,0.2731914893617022,0.5692307692307692,0.14285714285714285,0.19999999999999996,1,0.39999999999999997,0.40049443757725584,0.4301361039987833,0.40896533881911484,0.33092393306948387,0.08108108108108109,0.415683066495267,0.48213272830402715,0,1
16,Sheik,0.20967741935483872,0.7196261682242991,0.719626168224299,0.5,0.3685106382978724,0.7230769230769232,0.14285714285714285,0.7333333333333333,0,0.39999999999999997,0.7064276885043264,0.6254502316165135,0.6902265906843678,0.52155333465044,0.24324324324324323,0.7078415332476334,0.652297220646625,0,0.37499999999999994
17,Zelda,0.27419354838709675,0.34579439252336464,0.3457943925233646,0.42857142857142866,0.0638297872340426,0.6307692307692307,0.14285714285714285,0.3999999999999999,0.5,0.39999999999999997,0.7262051915945611,0.3830250668755573,0.36654721185919414,0.30359759226998634,0.04864864864864866,0.13082856141170965,0.4410880317640384,0,0.43181818181818177
18,Dr. Mario,0.4838709677419355,0.48598130841121506,0.48598130841121495,0.42857142857142866,0.19148936170212774,0.7999999999999998,0.14285714285714285,0.6,0.25,0.39999999999999997,0.6168108776266996,0.5385944947978734,0.5784501696924087,0.42690676399941585,0.24324324324324323,0.24878754236297768,0.576625354509359,0,0.2318181818181818
20,Falco,0.22580645161290322,0.7663551401869161,0.7663551401869159,0.6428571428571428,0.1370212765957447,0.46153846153846156,0.14285714285714285,0.8666666666666666,0.5,0.39999999999999997,0.69221260815822,1,0.5600842694455266,0.792631131812121,0.13513513513513514,0.5617622998714503,0.9786180374361882,0,0.2613636363636363
21,Marth,0.3548387096774194,0.560747663551402,0.5607476635514019,0.35714285714285715,0.2702127659574468,0.6,0.14285714285714285,0.6,0.25,0.09999999999999999,0.5067985166872683,0.45162498749989594,0.4608658053488582,0.35797202499667746,0,0.1600444080869463,0.5008508224617129,0,0.4840909090909091
21E,Lucina,0.3548387096774194,0.560747663551402,0.5607476635514019,0.35714285714285715,0.2702127659574468,0.6,0.14285714285714285,0.6,0.25,0.09999999999999999,0.5067985166872683,0.45162498749989594,0.4608658053488582,0.35797202499667746,0,0.1600444080869463,0.5008546228020418,0,0.4840909090909091
23,Ganondorf,0.7258064516129032,0.6261682242990655,0.6261682242990656,0.21428571428571433,0.028936170212765983,0.2461538461538462,0.14285714285714285,0.06666666666666662,0.75,0.19999999999999998,0.5951792336217553,0.18561023815823466,0.0905937078371763,0.16032519924118357,0.24324324324324323,0.3998699894822952,0.2690932501418039,0,0.6136363636363635
24,Mewtwo,0.0967741935483871,0.48598130841121506,0.48598130841121495,0.28571428571428564,0.38297872340425526,0.9538461538461538,0.2857142857142857,0.3333333333333333,0.25,1,0,0.3686121537991983,0.57482571010441,1,0.2648648648648649,0.2111721397686105,0.17640385706182637,0,0.46590909090909094
25,Roy,0.43548387096774194,0.7663551401869161,0.7780373831775701,0.28571428571428564,0.3404255319148936,0.9384615384615385,0.2857142857142857,0.06666666666666662,0.25,0,0.43263288009888756,0.36405482415478463,0.16022269157331342,0.21192921858536307,0.027027027027027032,0.4448989131705037,0,0,0.4886363636363636
26,Mr. Game & Watch,0.11290322580645161,0.24299065420560753,0.24299065420560748,0.35714285714285715,0.16017021276595747,0.7538461538461539,1,0.06666666666666662,0.25,0.39999999999999997,0.5086526576019778,0.2514877728147735,0.18431269322804011,0.19933703800308347,0.1783783783783784,0.19656421643099214,0.3264880884855361,0,0.19318181818181818
27,Meta Knight,0.1935483870967742,0.6355140186915889,0.635514018691589,0.5357142857142857,0.3191489361702127,0.5538461538461538,0.14285714285714285,0.5333333333333332,0,0.39999999999999997,0.5859085290482077,0.3975837493958283,0.24460841021301757,0.23580959778511423,0.1783783783783784,0.415683066495267,0.45377197958026083,1,0.19318181818181818
28,Pit,0.45161290322580644,0.4672897196261683,0.46728971962616817,0.35714285714285715,0.21793617021276598,0.4,0.14285714285714285,0.5333333333333332,0.25,0.39999999999999997,0.7008652657601978,0.3650313947928733,0.3404006870985491,0.2893352476016323,0.0918918918918919,0.20386817809980132,0.42541123085649457,0.5,0.37499999999999994
28E,Dark Pit,0.45161290322580644,0.4672897196261683,0.46728971962616817,0.35714285714285715,0.21793617021276598,0.4,0.14285714285714285,0.5333333333333332,0.25,0.39999999999999997,0.7008652657601978,0.3650313947928733,0.3404006870985491,0.2893352476016323,0.0918918918918919,0.20386817809980132,0.42541123085649457,0.5,0.37499999999999994
29,Zero Suit Samus,0.1935483870967742,0.6728971962616823,0.6728971962616824,0.5,0.40425531914893625,0.8769230769230768,0.14285714285714285,0.7999999999999999,0,0.39999999999999997,0.5822002472187887,0.80448818193276606,0.9299785254063204,0.629921775273217,0.0918918918918919,0.48872268318335865,0.8082813386273396,0,0.3863636363636363
30,Wario,0.6290322580645161,0.5887850467289721,0.588785046728972,0.21428571428571433,0.14893617021276598,0.8923076923076922,0.5714285714285714,0.7333333333333333,0.5,0.39999999999999997,0.5896168108776267,0.34875521749139576,0.3168504985739498,0.2764342427655874,0.7837837837837839,0.28421175645670205,0.4112308564946114,0,0.23863636363636367
32,Ike,0.6290322580645161,0.6261682242990655,0.6261682242990656,0.35714285714285715,0.14893617021276598,0.6923076923076924,0.14285714285714285,0.19999999999999996,0.5,0.09999999999999999,0.44746600741656367,0.3292238047296227,0.4366247039273778,0.2893352476016323,0.1135135135135135,0.28421175645670205,0.3942144072603518,0,0.4204545454545454
35,Charizard,0.7741935483870968,0.3925233644859813,0.39252336448598146,0,0.3617021276595745,0.4461538461538462,0.14285714285714285,0.3333333333333333,0.5,0.15,0.5951792336217553,0.3975837493958283,0.3837628190646629,0.41834529596208103,0.0918918918918919,0.415683066495267,0.45377197958026083,0.25,0.5159090909090909
36,Diddy Kong,0.4032258064516129,0.7196261682242991,0.719626168224299,0.5,0.28680851063829793,0.3846153846153846,0,0.3333333333333333,0,0.39999999999999997,0.9270704573547589,0.6973484219139326,0.7956781044276287,0.5527400689290368,0.0918918918918919,0.37916325815122115,0.7149374361883151,0,0.09090909090909088
37,Lucas,0.41935483870967744,0.36448598130841137,0.3644859813084113,0.21428571428571433,0.14893617021276598,0.7230769230769232,0.14285714285714285,0.7999999999999999,0.25,0.19999999999999998,0.49443757725587145,0.3132731509741748,0.16022269157331342,0.37912624126050454,0.22162162162162163,0.26960383311908376,1,0,0.07954545454545456
38,Sonic,0.41935483870967744,0.4392523364485982,0.43925233644859807,0.35714285714285715,1,0.7999999999999998,0.14285714285714285,0.19999999999999996,0.25,0.39999999999999997,0.9270704573547589,0.4952408132046934,0.5183904078919775,0.3925432862899913,0.13513513513513514,0.26960383311908376,0.5388542257515597,0,0.25
39,King Dedede,0.8225806451612904,0.9065420560747665,0.9065420560747666,0.28571428571428564,0.08936170212765965,0,0.14285714285714285,0.19999999999999996,0.5,0.09999999999999999,0.5302843016069221,0.42525325080834014,0.4384235282237781,0.3370689654949984,0.04864864864864866,0.2541559541895524,0.47787861599546205,0.75,0.7045454545454545
