fighter_number,fighter
01,Mario
02,Donkey Kong
03,Link
04,Samus
05,Yoshi
06,Kirby
07,Fox
08,Pikachu
09,Luigi
10,Ness
11,Captain Falcon
12,Jigglypuff
13,Peach
14,Bowser
16,Sheik
17,Zelda
18,Dr. Mario
20,Falco
21,Marth
21E,Lucina
23,Ganondorf
24,Mewtwo
25,Roy
26,Mr. Game & Watch
27,Meta Knight
28,Pit
28E,Dark Pit
29,Zero Suit Samus
30,Wario
32,Ike
35,Charizard
36,Diddy Kong
37,Lucas
38,Sonic
39,King Dedede
40,Olimar
41,Lucario
42,R.O.B.
43,Toon Link
45,Villager
46,Mega Man
47,Wii Fit Trainer
48,Rosalina
49,Little Mac
50,Greninja
51,Mii Brawler
52,Mii Swordfighter
53,Mii Gunner
54,Palutena
55,Pac-Man
56,Robin
57,Shulk
58,Bowser Jr.
59,Duck Hunt
60,Ryu
61,Cloud
62,Corrin
63,Bayonetta
