fighter_number,fighter,weight,max_fall_speed,fastfall_speed,initial_dash_speed,run_speed,horizontal_air_speed,base_air_acceleration,air_acceleration_range,jump_frames,base_run_acceleration,run_acceleration_range,jump_height,hop_height,air_jump_height,horizontal_air_friction,gravity,ledge_jump_height,number_of_jumps,shield_size
01,Mario,98,1.5,2.4,1.6,1.6,1.15,0.01,0.07,5,0.04,0.0998,36.331814,17.539339,36.331814,0.015,0.08715,38.165905,2,9.24
02,Donkey Kong,122,1.63,2.608,1.6,1.7031,1.15,0.01,0.05,6,0.04,0.0667,34,17.297209,35.5,0.015,0.08505,37,2,12.9
03,Link,104,1.6,3.04,1.3,1.3944,0.88,0.01,0.04,7,0.04,0.1197,27.8,13.380496,29,0.0038,0.096,33.9,2,9.8
04,Samus,108,1.3,2.08,1.86,1.504,1.03,0.04,0.05,4,0.04,0.12,37,18,37,0.0075,0.077,38.5,2,11.1
05,Yoshi,104,1.29,2.064,1.33,1.86,1.28,0.03,0.068,6,0.04,0.096,36.094189,17.434723,51.56,0.005,0.08,38.047096,2,7.2
06,Kirby,79,1.23,1.968,1.5,1.57,0.8,0.03,0.065,4,0.04,0.0954,25.368114,12.241816,22,0.015,0.06405,32.684059,6,8.4
07,Fox,79,2.05,3.28,2.4,2.184,0.96,0.01,0.08,4,0.04,0.1111,35,16.403395,37,0.015,0.19,37.5,2,9.6
08,Pikachu,79,1.55,2.48,1.8,1.85325,0.9118,0.01,0.09,4,0.04,0.0912,35.5,17.123371,35.5,0.0075,0.095,37.75,2,8.4
09,Luigi,97,1.25,2,1.28,1.5,0.734177,0,0.075,5,0.04,0.0786,44,19.984556,41.305771,0.0075,0.075,42,2,10.32
10,Ness,94,1.31,2.096,1.3,1.46265,0.9588,0.01,0.09,5,0.04,0.0651,34.476265,16.652296,34.476265,0.0225,0.077,37.238132,2,8.3
11,Captain Falcon,104,1.837,2.9392,1.7,2.32,1.1,0.01,0.065,5,0.1,0.06,37.306652,17.980684,37.306652,0.0075,0.12,38.653324,2,10
12,Jigglypuff,68,0.98,1.568,1.4,1.155,1.269,0.05,0.08,6,0.04,0.0829,19.786329,11.260982,19.786329,0.0375,0.053088,29.893164,6,9.1
13,Peach,89,1.15,1.84,1.5,1.4175,0.95,0.01,0.1,5,0.04,0.1181,30.025824,14.501237,30.025824,0.01,0.068,35.012913,2,10
14,Bowser,130,1.39,2.224,1,1.792,1,0.01,0.04,8,0.04,0.0648,33,15.699792,32.611839,0.0075,0.11,36.5,2,16
16,Sheik,81,1.75,2.8,1.7,2.016,1.1,0.01,0.08,4,0.04,0.1143,39,18.752533,40,0.015,0.15,39.5,2,10.5
17,Zelda,85,1.35,2.16,1.6,1.3,1.04,0.01,0.055,6,0.04,0.1175,31.552761,15.239396,31.552761,0.006,0.071,35.776382,2,11
18,Dr. Mario,98,1.5,2.4,1.6,1.6,1.15,0.01,0.07,5,0.04,0.0998,36.331814,17.539339,36.331814,0.015,0.08715,38.165905,2,9.24
20,Falco,82,1.8,2.88,1.9,1.472,0.93,0.01,0.09,6,0.04,0.112,50.506073,17.34,50.506073,0.01,0.13,45.253036,2,9.5
21,Marth,90,1.58,2.528,1.5,1.785,1.02,0.01,0.07,5,0.01,0.082,33.660133,16.263107,33.660133,0.00375,0.075,36.83,2,11.46
21E,Lucina,90,1.58,2.528,1.5,1.785,1.02,0.01,0.07,5,0.01,0.082,33.660133,16.263107,33.660133,0.00375,0.075,36.830067,2,11.46
23,Ganondorf,113,1.65,2.64,1.3,1.218,0.79,0.01,0.03,7,0.02,0.0963,25.488228,12.244264,26,0.015,0.107835,32.744114,2,12.6
24,Mewtwo,74,1.5,2.4,1.4,2.05,1.25,0.02,0.05,5,0.1,0,31.11,17.5,58.543,0.016,0.082,31.11,2,11.3
25,Roy,95,1.8,2.9,1.4,1.95,1.24,0.02,0.03,5,0,0.07,30.97,13,28,0.005,0.114,28,2,11.5
26,Mr. Game & Watch,75,1.24,1.984,1.5,1.5264,1.12,0.07,0.03,5,0.04,0.0823,27.511969,13.261467,27.511969,0.012,0.08,33.755985,2,8.9
27,Meta Knight,80,1.66,2.656,1.75,1.9,0.99,0.01,0.065,4,0.04,0.0948,32,13.915902,28.925524,0.012,0.11,36,6,8.9
28,Pit,96,1.48,2.368,1.5,1.66215,0.89,0.01,0.065,5,0.04,0.1134,31,14.955608,31,0.008,0.081,35.5,4,10.5
28E,Dark Pit,96,1.48,2.368,1.5,1.66215,0.89,0.01,0.065,5,0.04,0.1134,31,14.955608,31,0.008,0.081,35.5,4,10.5
29,Zero Suit Samus,80,1.7,2.72,1.7,2.1,1.2,0.01,0.085,4,0.04,0.0942,44.5,21.354742,44.2,0.008,0.12,42.25,2,10.6
